,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
177,-8642020247930479920,What is the character's name in black panther?,What is the character's name in black panther who is the king and protector of Wakanda?,"Are you referring to the character who is the king and protector of Wakanda, T'Challa's sister, T'Challa's father, Shuri's biological mother, the character who saved T'Challa from drowning, the character who can control sound, or the character who is a grumpy, gigantic elderly warrior?",The king and protector of Wakanda.,T'Challa
178,2556631031161412096,Who voiced kaa in the original jungle book?,Who voiced Kaa in the 1967 film Jungle Book?,Are you interested in the 1967 or 2016 film?,I'm interested in the 1967 film.,Sterling Holloway
179,2556631031161412096,Who voiced kaa in the original jungle book?,Who voiced Kaa in the 2016 film The Jungle Book?,Are you interested in the 1967 or 2016 film?,I'm interested in the 2016 film.,Scarlett Johansson
180,7131306561003470061,Where do you go for basic training in the marines?,Where did Marines go for basic training from 1911 to 1915?,During which period are you interested in?,I'm interested in the period from 1911 to 1915.,Norfolk; Philadelphia; Mare Island; Puget Sound
181,7131306561003470061,Where do you go for basic training in the marines?,Where did Marines go for basic training from after 1915?,During which period are you interested in?,I'm interested in the period after 1915.,"San Diego, California; Parris Island, South Carolina"
182,7131306561003470061,Where do you go for basic training in the marines?,Where did black Marines go to basic training during segregation?,During which period are you interested in?,I'm interested in the period during segregation.,Montford Point
183,1590194633735686902,Where will the next world cup be held?,Where will the 2022 FIFA World Cup be held?,Are you interested in the 2022 or 2026 FIFA World Cup location?,2022,Qatar
184,1590194633735686902,Where will the next world cup be held?,Where will the 2026 FIFA World Cup be held?,Are you interested in the 2022 or 2026 FIFA World Cup location?,2026,"Canada, Mexico, United States"
185,1359192087999943551,Who gets the most monthly listeners on spotify?,Who had the most monthly Spotify listeners in December of 2017?,"Would you like to know who had the most monthly Spotify listeners in December, November, or October of 2017?",December of 2017,Ed Sheeran
186,1359192087999943551,Who gets the most monthly listeners on spotify?,Who had the most monthly Spotify listeners in November of 2017?,"Would you like to know who had the most monthly Spotify listeners in December, November, or October of 2017?",November of 2017,Ed Sheeran
187,1359192087999943551,Who gets the most monthly listeners on spotify?,Who had the most monthly Spotify listeners in October of 2017?,"Would you like to know who had the most monthly Spotify listeners in December, November, or October of 2017?",October of 2017,Ed Sheeran
188,1550536638193486264,When does ios 11 release for iphone 7?,When does ios 11 public beta release for iphone 7?,Are you referring to the ios 11 public beta release or the official release?,The public beta release,"June 26, 2017"
189,1550536638193486264,When does ios 11 release for iphone 7?,When does ios 11 officially release for iphone 7?,Are you referring to the ios 11 public beta release or the official release?,The official release,"September 19, 2017"
190,-8450467725658266461,Who plays the main girl in phantom of the opera?,Who plays Christine Daaé in the Original West End Cast of Phantom of the Opera?,"Are you interested in who plays the main girl in the West End, Broadway or US Tour Cast?",Who plays her in the Original West End Cast.,"Sarah Brightman, Claire Moore"
191,-8450467725658266461,Who plays the main girl in phantom of the opera?,Who plays Christine Daaé in the Original Broadway Cast of Phantom of the Opera?,"Are you interested in who plays the main girl in the West End, Broadway or US Tour Cast?",Who plays her in the Original Broadway Cast.,"Sarah Brightman, Patti Cohenour"
192,-8450467725658266461,Who plays the main girl in phantom of the opera?,Who plays Christine Daaé in the Original US Tour Cast of Phantom of the Opera?,"Are you interested in who plays the main girl in the West End, Broadway or US Tour Cast?",Who plays her in the Original US Tour Cast.,"Dale Kristien, Mary D'Arcy"
193,-2540822501399275666,Who plays santa claus in rise of the guardians?,Who plays Santa Clause in the movie Rise of the Guardians?,Do you mean the actor in the movie or the video game?,Santa Clause actor in the movie.,Alec Baldwin
194,-2540822501399275666,Who plays santa claus in rise of the guardians?,Who plays Santa Clause in Rise of the Guardians: The Video Game?,Do you mean the actor in the movie or the video game?,Santa Clause actor in the video game.,Fred Tatasciore
195,4445027675533062218,Where were most factories located in the industrial revolution?,Where were most textile factories located in Britain during the industrial revolution?,Are you asking about a specific country or overall?,For Britain.,centred in south Lancashire and the towns on both sides of the Pennines
196,4445027675533062218,Where were most factories located in the industrial revolution?,Where were most textile factories located in Germany during the industrial revolution?,Are you asking about a specific country or overall?,For Germany.,"the Wupper Valley, Ruhr Region and Upper Silesia"
197,4445027675533062218,Where were most factories located in the industrial revolution?,Where were most textile factories located in Spain during the industrial revolution?,Are you asking about a specific country or overall?,For Spain.,Catalonia
198,4445027675533062218,Where were most factories located in the industrial revolution?,Where were most textile factories located in the United States during the industrial revolution?,Are you asking about a specific country or overall?,For the United States.,New England
199,-1929865661544538060,When is the new halloween movie going to be released?,When was Halloween (1978) released?,"Would you like to know when Halloween (1978) was released, when Halloween (2007) was released, when Halloween (2018) was released at the TIFF, or when Halloween (2018) was released in the US?",when Halloween (1978) was released,"October 25, 1978"
200,-1929865661544538060,When is the new halloween movie going to be released?,When was Halloween (2007) released?,"Would you like to know when Halloween (1978) was released, when Halloween (2007) was released, when Halloween (2018) was released at the TIFF, or when Halloween (2018) was released in the US?",when Halloween (2007) was released,"August 31, 2007"
201,-1929865661544538060,When is the new halloween movie going to be released?,When was Halloween (2018) released at the TIFF?,"Would you like to know when Halloween (1978) was released, when Halloween (2007) was released, when Halloween (2018) was released at the TIFF, or when Halloween (2018) was released in the US?",when Halloween (2018) was released at the TIFF,"September 8, 2018"
202,-1929865661544538060,When is the new halloween movie going to be released?,When was Halloween (2018) released in the US?,"Would you like to know when Halloween (1978) was released, when Halloween (2007) was released, when Halloween (2018) was released at the TIFF, or when Halloween (2018) was released in the US?",when Halloween (2018) was released in the US,"October 19, 2018"
203,-4980848367042297652,Who played wags the dog in the wiggles?,Who played the original barking voice of the dog in the Wiggles?,"Would you like to know the original or replacement barking voice, the dialog voice, or the dog?",The original barking voice,Jeff Fatt
204,-4980848367042297652,Who played wags the dog in the wiggles?,Who played wags the dog originally in the wiggles?,"Would you like to know the original or replacement barking voice, the dialog voice, or the dog?",The dog,Anthony Field
205,-4980848367042297652,Who played wags the dog in the wiggles?,Who took over playing the barking voice of the dog in the wiggles?,"Would you like to know the original or replacement barking voice, the dialog voice, or the dog?",The replacement barking voice,Paul Field
206,-4980848367042297652,Who played wags the dog in the wiggles?,Who played the voice of wags the dog for spoken dialog in the wiggles?,"Would you like to know the original or replacement barking voice, the dialog voice, or the dog?",The dialog voice,Mic Conway
207,-9103998096640172955,What's the release date for the punisher on netflix?,What's the release date for season 1 of the punisher on netflix?,Would you like to know the release date for season 1 or season 2 of the Punisher on Netflix?,Season 1,"November 17, 2017"
208,-9103998096640172955,What's the release date for the punisher on netflix?,What's the release date for season 2 of the punisher on netflix?,Would you like to know the release date for season 1 or season 2 of the Punisher on Netflix?,Season 2,"January 18, 2019"
209,-2810197699490466207,What is the scoville unit of a habanero pepper?,What is the scoville unit of a regular habanero pepper?,Which type of habanero pepper are you interested in?,I'm interested in a regular habanero pepper.,"Most habaneros rate between 200,000 and 300,000; 100,000 to 350,000"
210,-2810197699490466207,What is the scoville unit of a habanero pepper?,What is the scoville unit of a chocolate habanero pepper?,Which type of habanero pepper are you interested in?,I'm interested in a chocolate habanero pepper.,"350,000 to 800,000"
211,-2810197699490466207,What is the scoville unit of a habanero pepper?,What is the scoville unit of a black habanero pepper?,Which type of habanero pepper are you interested in?,I'm interested in a black habanero pepper.,"between 400,000 and 450,000"
212,-2810197699490466207,What is the scoville unit of a habanero pepper?,What is the scoville unit of a Caribbean red habanero pepper?,Which type of habanero pepper are you interested in?,I'm interested in a Caribbean red habanero pepper.,"300,000 to 445,000"
213,3047197652638889884,When is the major league baseball all-star game being played?,When is the 2017 major league baseball all-star game being played?,Which year of major league baseball are you interested in?,I'm interested in 2017.,"July 11, 2017"
214,3047197652638889884,When is the major league baseball all-star game being played?,When is the 2016 major league baseball all-star game being played?,Which year of major league baseball are you interested in?,I'm interested in 2016.,"July 12, 2016"
215,3047197652638889884,When is the major league baseball all-star game being played?,When is the 20057 major league baseball all-star game being played?,Which year of major league baseball are you interested in?,I'm interested in 20057.,"July 14, 2015"
216,8457740948472265475,When does series 2 of handmaid's tale?,When does series 2 of Handmaid's tale start?,Do you mean when does series 2 of Handmaid's Tale start or end?,start,"April 25, 2018"
217,8457740948472265475,When does series 2 of handmaid's tale?,When does series 2 of Handmaid's tale end?,Do you mean when does series 2 of Handmaid's Tale start or end?,end,"July 11, 2018"
218,1788376579913394563,Who used the word psychology for the first time?,Who used the word psychology for the first time and is generally given given credit?,Are you interested in knowing who was given credit less than six decades ago  or who used the word for the first time six decades ago before anyone received credit.,Given credit for the word less than six decades ago.,Göckel; Rudolf Göckel; Goclenius; Rudolph Goclenius the Elder; Rodolphus Goclenius
219,1788376579913394563,Who used the word psychology for the first time?,"Who used the word psychology for the first time, six decades before the man usually credited?",Are you interested in knowing who was given credit less than six decades ago  or who used the word for the first time six decades ago before anyone received credit.,Used the word for the first time before six decades ago and before anyone was given credit.,Marco Marulo; Marcus Marulus Spalatensis; Marulić; Marko Marulić; Marko Marulić Splićanin
220,-855246647558575478,When does tokyo ghoul re ep 3 come out?,"When does Tokyo Ghoul re, Season 1 episode 3 come out?",Which season of Tokyo Ghoul are you asking about?,I'm asking about Season 1.,"April 17, 2018"
221,-855246647558575478,When does tokyo ghoul re ep 3 come out?,"When does Tokyo Ghoul re, season 2, episode 3 come out?",Which season of Tokyo Ghoul are you asking about?,I'm asking about Season 2.,"October 23, 2018"
222,-4538203873005742366,Who is the publisher for the new york times?,What person is the publisher for the New York Times?,Do you want to know the person or company?,The person who publishes it.,A. G. Sulzberger
223,-4538203873005742366,Who is the publisher for the new york times?,What company is the publisher for the New York Times?,Do you want to know the person or company?,The company that publishes it.,The New York Times Company
224,-8663046392008283849,When is justice league going to be released?,When is the 2001 TV series justice league going to be released?,"Would you like to know when the 2001 TV series is going to be released, or when the 2017 film will be released in Beijing, North America, or Japan?",when the 2001 TV series is going to be released,"November 17, 2001"
225,-8663046392008283849,When is justice league going to be released?,When is the 2017 film justice league going to be released in Beijing?,"Would you like to know when the 2001 TV series is going to be released, or when the 2017 film will be released in Beijing, North America, or Japan?",when the 2017 film will be released in Beijing,"October 26, 2017"
226,-8663046392008283849,When is justice league going to be released?,When is the 2017 film justice league going to be released in North America?,"Would you like to know when the 2001 TV series is going to be released, or when the 2017 film will be released in Beijing, North America, or Japan?",when the 2017 film will be released in North America,"November 17, 2017"
227,-8663046392008283849,When is justice league going to be released?,When is the 2017 film justice league going to be released in Japan?,"Would you like to know when the 2001 TV series is going to be released, or when the 2017 film will be released in Beijing, North America, or Japan?",when the 2017 film will be released in Japan,"November 20, 2017"
228,-1543543153024449511,How many platform in hazrat nizamuddin railway station?,How many platforms are completed in hazrat nizamuddin railway station?,Do want to know how many platforms are built or under construction?,Platforms that are built.,8
229,-1543543153024449511,How many platform in hazrat nizamuddin railway station?,How many platforms are under construction in hazrat nizamuddin railway station?,Do want to know how many platforms are built or under construction?,Platforms that are currently under construction.,1
230,-254393295480140992,When was rick and morty season 3 released?,When was rick and morty season 3's first episode released?,"Would you like to know when the first episode of Rock and Morty season 3 was released, when the rest after the first episode was released, what the time span of season 3's release was, when the season was released on Netflix, or when the season was released on Hulu?",when the first episode of Rock and Morty season 3 was released,"April 1, 2017"
231,-254393295480140992,When was rick and morty season 3 released?,"After the first episode, when was the rest of rick and morty season 3 released?","Would you like to know when the first episode of Rock and Morty season 3 was released, when the rest after the first episode was released, what the time span of season 3's release was, when the season was released on Netflix, or when the season was released on Hulu?",when the rest after the first episode was released,"July 30, 2017-October 1, 2017"
232,-254393295480140992,When was rick and morty season 3 released?,Over what time span was rick and morty season 3 released?,"Would you like to know when the first episode of Rock and Morty season 3 was released, when the rest after the first episode was released, what the time span of season 3's release was, when the season was released on Netflix, or when the season was released on Hulu?",what the time span of season 3's release was,"April 1 – October 1, 2017"
233,-254393295480140992,When was rick and morty season 3 released?,When was rick and morty season 3 released on netflix?,"Would you like to know when the first episode of Rock and Morty season 3 was released, when the rest after the first episode was released, what the time span of season 3's release was, when the season was released on Netflix, or when the season was released on Hulu?",when the season was released on Netflix,one week after their original airdate
234,-254393295480140992,When was rick and morty season 3 released?,When was rick and morty season 3 released on hulu?,"Would you like to know when the first episode of Rock and Morty season 3 was released, when the rest after the first episode was released, what the time span of season 3's release was, when the season was released on Netflix, or when the season was released on Hulu?",when the season was released on Hulu,"June 23, 2018"
235,6513172687665087046,Who does the director of the fbi report to?,"Who does the director of the fbi report to from February 9, 2017 to November 7, 2018?","Would you like to know who the director of the FBI reported to from February 9, 2017, to November 7, 2018, from January 30, 2017, to February 9, 2017, or from January 20, 2017, to January 30, 2017?","From February 9, 2017, to November 7, 2018.",Jefferson Beauregard Sessions III; Jeff Sessions
236,6513172687665087046,Who does the director of the fbi report to?,"Who does the director of the fbi report to from January 30, 2017 to February 9, 2017?","Would you like to know who the director of the FBI reported to from February 9, 2017, to November 7, 2018, from January 30, 2017, to February 9, 2017, or from January 20, 2017, to January 30, 2017?","From January 30, 2017, to February 9, 2017.",Dana James Boente; Dana Boente
237,6513172687665087046,Who does the director of the fbi report to?,"Who does the director of the fbi report to from January 20, 2017 to January 30, 2017?","Would you like to know who the director of the FBI reported to from February 9, 2017, to November 7, 2018, from January 30, 2017, to February 9, 2017, or from January 20, 2017, to January 30, 2017?","From January 20, 2017, to January 30, 2017.",Sally Yates; Sally Caroline Yates
238,3109120675720656710,Where were the desert scenes in stargate filmed?,Where were the desert scenes in the 1994 Stargate movie filmed?,"Are you referring to the scenes in the 1994 Stargate movie, or in the TV series Stargate SG-1?",The movie.,"Yuma, AZ, Buttercup Dunes,"
239,3109120675720656710,Where were the desert scenes in stargate filmed?,Where were the desert scenes filmed in the TV series Stargate SG-1?,"Are you referring to the scenes in the 1994 Stargate movie, or in the TV series Stargate SG-1?",The TV show.,"Vancouver, British Columbia"
240,7022000994275808416,Who played austin reed on days of our lives?,Who played austin reed on days of our lives during 1992-95 and 2011-12?,"Which years do you want to know for? 1992-95 and 2011-12, 1995-2006 and 2017, or 2020?",Tell me for 1992-95 and 2011-12.,William Patrick Muldoon III; Patrick Muldoon
241,7022000994275808416,Who played austin reed on days of our lives?,"Who played austin reed on days of our lives during 1995-2006,2017?","Which years do you want to know for? 1992-95 and 2011-12, 1995-2006 and 2017, or 2020?",For the years 1995-2006 and 2017.,Austin Peck
242,7022000994275808416,Who played austin reed on days of our lives?,Who played austin reed on days of our lives in 2020?,"Which years do you want to know for? 1992-95 and 2011-12, 1995-2006 and 2017, or 2020?",For the 2020 season.,Scott Michael Elrod; Scott Elrod
243,-8915348732544698298,Who did the usa defeat to win the gold medal in ice hockey in 1980?,Who did the USA defeat in the Miracle on Ice semi-finals to win the gold medal in ice hockey in 1980?,Are you asking about the Miracle on Ice semi-finals or the final game?,the Miracle on Ice semi-finals,Soviet Union
244,-8915348732544698298,Who did the usa defeat to win the gold medal in ice hockey in 1980?,Who did the USA defeat in the final game to win the gold medal in ice hockey in 1980?,Are you asking about the Miracle on Ice semi-finals or the final game?,the final game,Finland
245,926313614583798005,When is the last time the cowboys won a superbowl?,When is the last time the cowboys won a superbowl in 1996?,Starting from which year are you asking?,Starting from 1996.,"January 28, 1996"
246,926313614583798005,When is the last time the cowboys won a superbowl?,When is the last time the cowboys won a superbowl in 1994?,Starting from which year are you asking?,Starting from 1994.,"January 30, 1994"
247,926313614583798005,When is the last time the cowboys won a superbowl?,When is the last time the cowboys won a superbowl in 1993?,Starting from which year are you asking?,Starting from 1993.,"January 31, 1993"
248,590302661057746891,Who was the main person that introduced the social contract theory of government?,Who was the main person that introduced the social contract theory of government in his book Leviathan?,"Are you asking who introduced the theory in the book Leviathan, in an argument for freedom, or based on unlimited popular sovereignty?",in the book Leviathan,Hobbes; Thomas Hobbes
249,590302661057746891,Who was the main person that introduced the social contract theory of government?,"Who was the main person that introduced the social contract theory of government, arguing for freedom?","Are you asking who introduced the theory in the book Leviathan, in an argument for freedom, or based on unlimited popular sovereignty?",in an argument for freedom,Locke; John Locke
250,590302661057746891,Who was the main person that introduced the social contract theory of government?,Who was the main person that introduced the social contract theory of government based on unlimited popular sovereignty?,"Are you asking who introduced the theory in the book Leviathan, in an argument for freedom, or based on unlimited popular sovereignty?",based on unlimited popular sovereignty,Rousseau; Jean-Jacques Rousseau
251,1697246317085361210,Who wrote the song hero by mariah carey?,Who wrote Mariah Carey's song Hero?,Are you asking who wrote the song or who helped Mariah Carey write the song?,Who wrote the song,Mariah Carey
252,1697246317085361210,Who wrote the song hero by mariah carey?,Who helped Mariah Carey write the song Hero?,Are you asking who wrote the song or who helped Mariah Carey write the song?,Who helped Mariah Carey write this song,Walter Afanasieff
253,2559466785480758118,Who does the voice of pumbaa in the lion king?,Who does the voice of pumbaa in the lion king 1994 film?,Would you like the know the voice of Pumbaa in the 1994 film or the 2019 film?,the 1994 film,Ernie Sabella
254,2559466785480758118,Who does the voice of pumbaa in the lion king?,Who does the voice of pumbaa in The Lion King (2019 film)?,Would you like the know the voice of Pumbaa in the 1994 film or the 2019 film?,the 2019 film,Seth Rogen; Seth Aaron Rogen
255,-220113098292720388,Where did the 2017 eclipse start and end?,Where did the 2017 eclipse start in the contiguous United States?,Are you interested in when it started or ended?,I'm interested in when it started.,the Oregon coast
256,-220113098292720388,Where did the 2017 eclipse start and end?,Where did the 2017 eclipse end in the contiguous United States?,Are you interested in when it started or ended?,I'm interested in when it ended.,the South Carolina coast
257,7124306632635638355,Who are the judges of so you think you dance?,Who are the judges of the American TV show So You Think You Can Dance season 14?,"Since the show has different judges depending on the season and country it's in, which season and country are you referring to?","The American version, season 14","Nigel Lythgoe, Mary Murphy, Vanessa Hudgens"
258,7124306632635638355,Who are the judges of so you think you dance?,Who are the judges of the American TV show So You Think You Can Dance season 13?,"Since the show has different judges depending on the season and country it's in, which season and country are you referring to?","The American version, season 13","Nigel Lythgoe, Paula Abdul, Jason Derulo, Maddie Ziegler"
259,7124306632635638355,Who are the judges of so you think you dance?,Who are the judges of the American TV show So You Think You Can Dance season 12?,"Since the show has different judges depending on the season and country it's in, which season and country are you referring to?","The American version, season 12","Nigel Lythgoe, Paula Abdul, Jason Derulo"
260,7124306632635638355,Who are the judges of so you think you dance?,Who are the judges of So You Think You Can Dance Australia season 4?,"Since the show has different judges depending on the season and country it's in, which season and country are you referring to?","The Australian version, season 4","Paula Abdul, Shannon Holtzapffel, Jason Gilkison ,Aaron Cash"
261,7124306632635638355,Who are the judges of so you think you dance?,Who are the judges of So You Think You Can Dance Australia season 3?,"Since the show has different judges depending on the season and country it's in, which season and country are you referring to?","The Australian version, season 3","Jason Coleman, Matt Lee, Bonnie Lythgoe"
262,7124306632635638355,Who are the judges of so you think you dance?,Who are the judges of So You Think You Can Dance Australia season 2?,"Since the show has different judges depending on the season and country it's in, which season and country are you referring to?","The Australian version, season 2","Jason Coleman, Matt Lee, Bonnie Lythgoe"
263,7124306632635638355,Who are the judges of so you think you dance?,Who are the judges of So You Think You Can Dance Canada?,"Since the show has different judges depending on the season and country it's in, which season and country are you referring to?",The Canada version,"Jean-Marc Généreux, Tré Armstrong, Blake McGrath, Luther Brown"
264,-4761713139484261685,When was the first world war broke out?,When was the first world war broke out as measured by when Gavrilo Princip was assassinated?,Are you interested in when the first world war began by when Gavrilo Princip was assassinated or when Austria-Hungary first shelled Belgrade?,when Gavrilo Princip was assassinated,28 June 1914
265,-4761713139484261685,When was the first world war broke out?,When was the first world war broke out as measured by when Austria-Hungary first shelled Belgrade?,Are you interested in when the first world war began by when Gavrilo Princip was assassinated or when Austria-Hungary first shelled Belgrade?,when Austria-Hungary first shelled Belgrade,28 July 1914
266,-4395780804424920262,Who sang i'm telling you i'm not going?,Which character in Dreamgirls sang I'm telling you I'm not going?,"Do you want to know who sang 'I'm telling you I'm not going' in the Dreamgirls musical, on the original Broadway play or in 1994, 2006, or 2014 versions?",Which character in the Dreamgirls musical.,Effie White
267,-4395780804424920262,Who sang i'm telling you i'm not going?,Who sang I'm telling you I'm not going as the original Effie on Broadway in Dreamgirls?,"Do you want to know who sang 'I'm telling you I'm not going' in the Dreamgirls musical, on the original Broadway play or in 1994, 2006, or 2014 versions?",The original Effie on the Broadway 'Dreamgirls' play.,Jennifer Holliday
268,-4395780804424920262,Who sang i'm telling you i'm not going?,Who sang the 2006 version of And I am Telling you I'm not going?,"Do you want to know who sang 'I'm telling you I'm not going' in the Dreamgirls musical, on the original Broadway play or in 1994, 2006, or 2014 versions?",The 2006 version.,Jennifer Hudson
269,-4395780804424920262,Who sang i'm telling you i'm not going?,Who sang the 2014 version of And I am telling you I'm not going?,"Do you want to know who sang 'I'm telling you I'm not going' in the Dreamgirls musical, on the original Broadway play or in 1994, 2006, or 2014 versions?",The 2014 version.,Whitney Houston
270,-4395780804424920262,Who sang i'm telling you i'm not going?,Who sang the 1994 version of And I am telling you I'm not going?,"Do you want to know who sang 'I'm telling you I'm not going' in the Dreamgirls musical, on the original Broadway play or in 1994, 2006, or 2014 versions?",The 1994 version.,Donna Giles
271,7805880222517646137,A measure using algorithms to publically protect patient identifiable information is?,A measure using algorithms at runtime to publically protect patient identifiable information is?,"Are you asking what a measure using algorithms at runtime to publicly protect patient identifiable information is, or what one to publicly protect patient identifiable information without data touching the disk is?",A measure using algorithms at runtime to publicly protect patient identifiable information,Dynamic data masking
272,7805880222517646137,A measure using algorithms to publically protect patient identifiable information is?,A measure using algorithms to publically protect patient identifiable information without data touching the disk is?,"Are you asking what a measure using algorithms at runtime to publicly protect patient identifiable information is, or what one to publicly protect patient identifiable information without data touching the disk is?",A measure using algorithms to publicly protect patient identifiable information without data touching the disk,On-the-fly data masking
273,-4542731420219710794,When did the earliest organisms appear on earth?,When is the earliest time that the earliest organisms possibly appear on earth?,"Are you asking the earliest they possibly appeared, the latest they possibly appeared, or the earliest that we actually have evidence for?",The earliest time they possibly appeared.,4.54 billion years ago; 4.5 billion years
274,-4542731420219710794,When did the earliest organisms appear on earth?,When is the latest time that the earliest organisms possibly appear on earth?,"Are you asking the earliest they possibly appeared, the latest they possibly appeared, or the earliest that we actually have evidence for?",The latest time they possibly appeared.,3.77 billion years ago
275,-4542731420219710794,When did the earliest organisms appear on earth?,When did the earliest organisms appear on earth that we have direct evidence for?,"Are you asking the earliest they possibly appeared, the latest they possibly appeared, or the earliest that we actually have evidence for?",The earliest that we actually have evidence for.,3.465-billion-year; 3.465-billion-year-old
276,-2260205477130802685,When did collingwood last won a grand final?,"As of 2017, when did Collingwood last win a grand final?",As of which year are you interested?,I'm interested in 2017.,2010 season
277,-2260205477130802685,When did collingwood last won a grand final?,"As of 2016, when did Collingwood last win a grand final?",As of which year are you interested?,I'm interested in 2016.,2010 season
278,-2260205477130802685,When did collingwood last won a grand final?,"As of 2015, when did Collingwood last win a grand final?",As of which year are you interested?,I'm interested in 2015.,2010 season
279,5996176584372351211,Who said et tu brute in julius caesar?,Who said et tu brute in the book Julius Caesar?,"Would you like to know who said et tu brute in the book Julius Caesar? Or would you like to know which actor said Et Tu Brute in the 1953, 1970, 1950, or 1914 versions of the film Julius Caesar?",In the book.,Julius Caesar
280,5996176584372351211,Who said et tu brute in julius caesar?,Which actor said Et Tu Brute in the 1953 film Julius Caesar?,"Would you like to know who said et tu brute in the book Julius Caesar? Or would you like to know which actor said Et Tu Brute in the 1953, 1970, 1950, or 1914 versions of the film Julius Caesar?",In the 1953 film.,Louis Calhern
281,5996176584372351211,Who said et tu brute in julius caesar?,Which actor said Et Tu Brute in the 1970 film Julius Caesar?,"Would you like to know who said et tu brute in the book Julius Caesar? Or would you like to know which actor said Et Tu Brute in the 1953, 1970, 1950, or 1914 versions of the film Julius Caesar?",In the 1970 film.,John Gielgud
282,5996176584372351211,Who said et tu brute in julius caesar?,Which actor said Et Tu Brute in the 1950 film Julius Caesar?,"Would you like to know who said et tu brute in the book Julius Caesar? Or would you like to know which actor said Et Tu Brute in the 1953, 1970, 1950, or 1914 versions of the film Julius Caesar?",In the 1950 film.,Harold Tasker
283,5996176584372351211,Who said et tu brute in julius caesar?,Which actor said Et Tu Brute in the 1914 film Julius Caesar?,"Would you like to know who said et tu brute in the book Julius Caesar? Or would you like to know which actor said Et Tu Brute in the 1953, 1970, 1950, or 1914 versions of the film Julius Caesar?",In the 1914 film.,Amleto Novelli
284,8817572651487912305,The first unix operating system was written in which language?,The first unix operating system was originally written in which language?,Would you like to know the original language that the first Unix operating system was written in or the language that it was rewritten in?,the original language it was written in,Assembly
285,8817572651487912305,The first unix operating system was written in which language?,The first unix operating system was rewritten in which language?,Would you like to know the original language that the first Unix operating system was written in or the language that it was rewritten in?,the language that it was rewritten in,C
286,3778504433118961620,When did yu yu hakusho anime come out?,When did Yu Yu Hakusho the anime first release in Japan?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",The anime in Japan,"October 10, 1992"
287,3778504433118961620,When did yu yu hakusho anime come out?,When did Yu Yu Hakusho the anime first release in English?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",The anime in English,"February 23, 2002"
288,3778504433118961620,When did yu yu hakusho anime come out?,When did episode 112 of Yu Yu Hakusho release in Japan?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",Episode 112 in Japan,"December 17, 1994"
289,3778504433118961620,When did yu yu hakusho anime come out?,When did episode 112 of Yu Yu Hakusho release in English?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",Episode 112  in English,"April 1, 2006"
290,3778504433118961620,When did yu yu hakusho anime come out?,When did episode 111 of Yu Yu Hakusho release in Japan?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",Episode 111 in Japan,"December 10, 1994"
291,3778504433118961620,When did yu yu hakusho anime come out?,When did episode 111 of Yu Yu Hakusho release in English?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",Episode 111 in English,"March 25, 2006"
292,3778504433118961620,When did yu yu hakusho anime come out?,When did episode 110 of Yu Yu Hakusho release in Japan?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",Episode 110 in Japan,"December 3, 1994"
293,3778504433118961620,When did yu yu hakusho anime come out?,When did episode 110 of Yu Yu Hakusho release in English?,"Would you like to know when the anime first came out in Japan or in English, or when a specific episode came out in Japan or in English?",Episode 110 in English,"March 18, 2006"
294,-2498325617028772044,How many current amendments are there to the us constitution?,How many current amendments are there to the us constitution that have been proposed?,Would you like to know how many amendments to the US Constitution have been proposed or ratified?,proposed,Thirty-three; 33
295,-2498325617028772044,How many current amendments are there to the us constitution?,How many current amendments are there to the us constitution that have been ratified?,Would you like to know how many amendments to the US Constitution have been proposed or ratified?,ratified,Twenty-seven; 27
296,1988040346390784364,What is the latest version of adobe dreamweaver?,"As of 2017, what is the latest version of adobe dreamweaver?",Starting from which year are you interested in?,Starting from 2017.,18.0; CC 2018
297,1988040346390784364,What is the latest version of adobe dreamweaver?,"As of 2016, what is the latest version of adobe dreamweaver?",Starting from which year are you interested in?,Starting from 2016.,17.0; CC 2017
298,1988040346390784364,What is the latest version of adobe dreamweaver?,"As of 2015, what is the latest version of adobe dreamweaver?",Starting from which year are you interested in?,Starting from 2015.,CC 2015; 16.0
299,-8814627233351851135,Who has calculated the most digits of pi?,Who has calculated the most digits of pi in 2016?,In which year are you interested in?,I'm interested in 2016.,Peter Trueb
300,-8814627233351851135,Who has calculated the most digits of pi?,Who has calculated the most digits of pi in 2011?,In which year are you interested in?,I'm interested in 2011.,Alexander Yee and Shigeru Kondo
301,-8814627233351851135,Who has calculated the most digits of pi?,Who has calculated the most digits of pi in 2009?,In which year are you interested in?,I'm interested in 2009.,Fabrice Bellard
302,2184318228911405416,What channel is the new yellowstone series going to be on?,What channel is the new American yellowstone series going to be on in 2018?,Are you interested in the American or British version?,I'm interested in the American version.,Paramount Network
